symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
KOTHARIPRO,EQ,-,10, Bonus 1:2,05-Jan-2016,06-Jan-2016,-,-,-,Kothari Products Limited,INE823A01017,-,
GREENPLY,EQ,-,1, Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,06-Jan-2016,07-Jan-2016,-,-,-,Greenply Industries Limited,INE461C01020,-,
RAJRAYON,EQ,-,1, Extraordinary General Meeting,07-Jan-2016,-,11-Jan-2016,17-Jan-2016,-,Raj Rayon Industries Limited,INE533D01016,-,
TIIL,EQ,-,10, Buyback Of Shares,07-Jan-2016,08-Jan-2016,-,-,-,Technocraft Industries (India) Limited,INE545H01011,-,
JMCPROJECT,EQ,-,2, Rights 2:7,11-Jan-2016,12-Jan-2016,-,-,-,JMC Projects (India)  Limited,INE890A01016,-,
BAJAJCON,EQ,-,1, Interim Dividend Rs 11.50 Per Share (Purposed Revised),19-Jan-2016,20-Jan-2016,-,-,-,Bajaj Consumer Care Limited,INE933K01021,-,
OIL,EQ,-,10, Interim Dividend-Rs 8/- Per Share (Purposed Revised),19-Jan-2016,20-Jan-2016,-,-,-,Oil India Limited,INE274J01014,-,
ALANKIT,EQ,-,1, Interim Dividend  - Re 0.20/- Per Share,20-Jan-2016,21-Jan-2016,-,-,-,Alankit Limited,INE914E01024,-,
ABIRLANUVO,EQ,-,10, Scheme Of Arrangement,20-Jan-2016,21-Jan-2016,-,-,-,Aditya Birla Nuvo Limited,INE069A01017,-,
TCS,EQ,-,1, Interim Dividend - Rs 5.50/- Per Share,21-Jan-2016,22-Jan-2016,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
SIEMENS,EQ,-,2, Final Dividend Rs 6/- Plus Special Dividend Rs 4/- Per Share,21-Jan-2016,-,23-Jan-2016,29-Jan-2016,-,Siemens Limited,INE003A01024,-,
WIPRO,EQ,-,2, Interim Dividend - Rs 5/- Per Share (Purpose Revised),25-Jan-2016,27-Jan-2016,-,-,-,Wipro Limited,INE075A01022,-,
MINDTREE,EQ,-,10, Interim Dividend - Rs 4/- Per Share (Purpose Revised),25-Jan-2016,27-Jan-2016,-,-,-,MindTree Limited,INE018I01017,-,
MFSL,EQ,-,2, Scheme Of Arrangement,27-Jan-2016,28-Jan-2016,-,-,-,Max Financial Services Limited,INE180A01020,-,
HCLTECH,EQ,-,2, Interim Dividend Rs 6/- Per Share (Purpose Revised),27-Jan-2016,28-Jan-2016,-,-,-,HCL Technologies Limited,INE860A01027,-,
MASTEK,EQ,-,5, Interim Dividend-Rs 1.50/- Per Share,28-Jan-2016,29-Jan-2016,-,-,-,Mastek Limited,INE759A01021,-,
GANDHITUBE,EQ,-,5, Interim Dividend Rs 7.50 Per Share (Purpose Revised),28-Jan-2016,29-Jan-2016,-,-,-,Gandhi Special Tubes Limited,INE524B01027,-,
VETO,EQ,-,10, Interim Dividend - Re 0.50/- Per Share,28-Jan-2016,29-Jan-2016,-,-,-,Veto Switchgears And Cables Limited,INE918N01018,-,
