symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
MAZDOCK,EQ,-,5,Interim Dividend - Rs 7.10 Per Share,06-Jan-2022,07-Jan-2022,-,-,-,Mazagon Dock Shipbuilders Limited,INE249Z01012,-,
833GS2026,GS,-,100,Interest Payment,06-Jan-2022,07-Jan-2022,-,-,-,GOVERNMENT OF INDIA,IN0020120039,-,
717GS2028,GS,-,100,Interest Payment,06-Jan-2022,07-Jan-2022,-,-,-,GOVERNMENT OF INDIA,IN0020170174,-,
759GS2026,GS,-,100,Interest Payment,07-Jan-2022,10-Jan-2022,-,-,-,GOVERNMENT OF INDIA,IN0020150093,-,
IMFA,EQ,-,10,Bonus 1:1,07-Jan-2022,10-Jan-2022,-,-,-,Indian Metals & Ferro Alloys Limited,INE919H01018,-,
IPCALAB,EQ,-,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,10-Jan-2022,11-Jan-2022,-,-,-,IPCA Laboratories Limited,INE571A01020,-,
GMRAIRPORT,EQ,-,1,Demerger,11-Jan-2022,12-Jan-2022,-,-,-,GMR AIRPORTS LIMITED,INE776C01039,-,
SMLT,EQ,-,10,Interim Dividend - Re 1 Per Share,12-Jan-2022,13-Jan-2022,-,-,-,Sarthak Metals Limited,INE017W01010,-,
AJANTPHARM,EQ,-,2,Buyback,13-Jan-2022,14-Jan-2022,-,-,-,Ajanta Pharma Limited,INE031B01015,-,
MOTHERSON,EQ,-,1,Demerger,14-Jan-2022,17-Jan-2022,-,-,-,Samvardhana Motherson International Limited,INE775A01035,-,
NAUKRI,EQ,-,2,Interim Dividend - Rs 8 Per Sh,17-Jan-2022,18-Jan-2022,-,-,-,Info Edge (India) Limited,INE663F01024,-,
HGS,EQ,-,10,Interim Dividend - Rs 150 Per Share,17-Jan-2022,18-Jan-2022,-,-,-,Hinduja Global Solutions Limited,INE170I01016,-,
ONEPOINT,EQ,-,2,Bonus 1:2,18-Jan-2022,19-Jan-2022,-,-,-,One Point One Solutions Limited,INE840Y01011,-,
ONEPOINT,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,18-Jan-2022,19-Jan-2022,-,-,-,One Point One Solutions Limited,INE840Y01011,-,
TCS,EQ,-,1,Interim Dividend - Rs 7 Per Share,19-Jan-2022,20-Jan-2022,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
ANANDRATHI,EQ,-,5,Interim Dividend - Rs 5 Per Share,19-Jan-2022,20-Jan-2022,-,-,-,Anand Rathi Wealth Limited,INE463V01026,-,
SIEMENS,EQ,-,2,Dividend - Rs 8 Per Share,20-Jan-2022,-,22-Jan-2022,04-Feb-2022,-,Siemens Limited,INE003A01024,-,
