symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
INDIABULLS,EQ,-,2,Scheme Of Arrangement,02-Jan-2007,09-Jan-2007,-,-,02-Jan-2007,Indiabulls Financial Services Limited,INE894F01025,08-Jan-2007,
SIEMENS,EQ,-,2,Agm/Dividend - 190%,02-Jan-2007,-,04-Jan-2007,18-Jan-2007,-,Siemens Limited,INE003A01024,-,
INDNIPPON,EQ,-,5,Interim Dividend-45%     Purpose Revised,03-Jan-2007,04-Jan-2007,-,-,-,India Nippon Electricals Limited,INE092B01017,-,
SUNDRMFAST,EQ,-,1,Bonus-1:1,04-Jan-2007,05-Jan-2007,-,-,-,Sundram Fasteners Limited,INE387A01021,-,
BSOFT,EQ,-,2,Bonus-1:1 Spl-Rs 5/ To 2/,04-Jan-2007,11-Jan-2007,-,-,04-Jan-2007,BIRLASOFT LIMITED,INE836A01035,10-Jan-2007,
GLENMARK,EQ,-,1,Interim Dividend - 40%,04-Jan-2007,05-Jan-2007,-,-,-,Glenmark Pharmaceuticals Limited,INE935A01035,-,
AUTOAXLES,EQ,-,10,Agm/Dividend Rs. 7.5 P Sh,08-Jan-2007,-,10-Jan-2007,12-Jan-2007,-,Automotive Axles Limited,INE449A01011,-,
FINCABLES,EQ,-,2,Fv Split Rs.10/- To Rs.2/,08-Jan-2007,15-Jan-2007,-,-,08-Jan-2007,Finolex Cables Limited,INE235A01022,12-Jan-2007,
UNIONBANK,EQ,-,10,Interim Dividend-15%,11-Jan-2007,13-Jan-2007,-,-,-,Union Bank of India,INE692A01016,-,
DOLPHINOFF,EQ,-,10,Bonus 3:5,11-Jan-2007,12-Jan-2007,-,-,-,Dolphin Offshore Enterprises (India) Limited,INE920A01011,-,
APARINDS,EQ,-,10,Bonus-1:3,11-Jan-2007,12-Jan-2007,-,-,-,Apar Industries Limited,INE372A01015,-,
BPCL,EQ,-,10,Interim Dividend - 60%,15-Jan-2007,16-Jan-2007,-,-,-,Bharat Petroleum Corporation Limited,INE029A01011,-,
WALCHANNAG,EQ,-,2,Agm/Div-Rs.4.50 Per Share,16-Jan-2007,-,18-Jan-2007,24-Jan-2007,-,Walchandnagar Industries Limited,INE711A01022,-,
MASTEK,EQ,-,5,Int Div-Rs.3/- Per Share Purpose Revised,16-Jan-2007,17-Jan-2007,-,-,-,Mastek Limited,INE759A01021,-,
SOTL,EQ,-,2,Bonus 2:3,17-Jan-2007,18-Jan-2007,-,-,-,Savita Oil Technologies Limited,INE035D01012,-,
ZANDUREALT,EQ,-,100,Bonus 1:3,18-Jan-2007,20-Jan-2007,-,-,-,Zandu Realty Limited,INE719A01017,-,
NANDAN,EQ,-,1,Bonus 1:1,18-Jan-2007,19-Jan-2007,-,-,-,Nandan Exim Limited,INE875G01022,-,
NEPCTEX,EQ,-,10,Agm,18-Jan-2007,-,22-Jan-2007,25-Jan-2007,-,Nepc Textiles Limited,INE574B01014,-,
HCLTECH,EQ,-,2,2nd Int Div-Rs.4/- Per Shpurpose Revised,19-Jan-2007,22-Jan-2007,-,-,-,HCL Technologies Limited,INE860A01027,-,
TCS,EQ,-,1,3rd Int Div-Rs.3/- Per Shpurpose Revised,22-Jan-2007,23-Jan-2007,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
LGBROS,EQ,-,1,Right-1 Bond:9eqsh@Rs.101,22-Jan-2007,31-Jan-2007,-,-,22-Jan-2007,LG Balakrishnan & Bros Limited,INE337A01026,29-Jan-2007,
MAWANA,EQ,-,10,Agm/Dividend-10%,22-Jan-2007,-,24-Jan-2007,25-Jan-2007,-,Mawana Sugars Limited,INE255G01019,-,
PSL,EQ,-,10,Int Div-Rs.2.50/- Per Sh Purpose Revised,22-Jan-2007,23-Jan-2007,-,-,-,PSL Limited,INE474B01017,-,
MARICO,EQ,-,1,3rd Int Div-Rs1.70 Per Shpurpose Revised,23-Jan-2007,24-Jan-2007,-,-,-,Marico Limited,INE196A01026,-,
JPASSOCIAT,EQ,-,2,Int Div - Rs.2/- Per Sh,24-Jan-2007,27-Jan-2007,-,-,-,Jaiprakash Associates Limited,INE455F01025,-,
RML,EQ,-,10,Int Div-Rs.2/- Per Share Purpose Revised,25-Jan-2007,30-Jan-2007,-,-,-,Rane (Madras) Limited,INE050H01012,-,
RANEHOLDIN,EQ,-,10,Int Div-Rs.3/- Per Share Purpose Revised,25-Jan-2007,30-Jan-2007,-,-,-,Rane Holdings Limited,INE384A01010,-,
HCL-INSYS,EQ,-,2,2nd Int Div-100%         Purpose Revised,25-Jan-2007,30-Jan-2007,-,-,-,HCL Infosystems Limited,INE236A01020,-,
PARACABLES,EQ,-,2,Fv Split Rs.10/- To Rs.2/,25-Jan-2007,05-Feb-2007,-,-,25-Jan-2007,Paramount Communications Limited,INE074B01023,02-Feb-2007,
SUPREMEIND,EQ,-,2,Interim Dividend - 25%,25-Jan-2007,29-Jan-2007,-,-,-,Supreme Industries Limited,INE195A01010,-,
DABUR,EQ,-,1,Bonus - 1:2,25-Jan-2007,29-Jan-2007,-,-,-,Dabur India Limited,INE016A01026,-,
GODREJCP,EQ,-,1,Int Div-Re.1/- Per Sh    Purpose Revised,25-Jan-2007,29-Jan-2007,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
RANEBRAKE,EQ,-,10,Int Div-Rs.4/- Per Share Purpose Revised,25-Jan-2007,30-Jan-2007,-,-,-,Rane Brake Linings Limited,INE413A01017,-,
BEL,EQ,-,1,Int Div-Rs.4/- Per Share Purpose Revised,25-Jan-2007,29-Jan-2007,-,-,-,Bharat Electronics Limited,INE263A01016,-,
SUNDRMBRAK,EQ,-,10,Interim Dividend-50%     Purpose Revised,29-Jan-2007,31-Jan-2007,-,-,-,Sundaram Brake Linings Limited,INE073D01013,-,
MPSLTD,EQ,-,10,Interim Dividend-35%     Purpose Revised,31-Jan-2007,01-Feb-2007,-,-,-,MPS Limited,INE943D01017,-,
CONCOR,EQ,-,5,Interim Dividend-110%,31-Jan-2007,01-Feb-2007,-,-,-,Container Corporation of India Limited,INE111A01017,-,
CGPOWER,EQ,-,2,Interim Dividend-25%     Purpose Revised,01-Feb-2007,02-Feb-2007,-,-,-,CG Power and Industrial Solutions Limited,INE067A01029,-,
DCHL,EQ,-,2,Interim Dividend-50%,01-Feb-2007,03-Feb-2007,-,-,-,Deccan Chronicle Holdings Limited,INE137G01027,-,
GESHIP,EQ,-,10,Int Div-Rs.3/- Per Share Purpose Revised,01-Feb-2007,02-Feb-2007,-,-,-,The Great Eastern Shipping Company Limited,INE017A01032,-,
GEOJITFSL,EQ,-,1,Interim Dividend-40%     Purpose Revised,01-Feb-2007,02-Feb-2007,-,-,-,Geojit Financial Services Limited,INE007B01023,-,
KBL,EQ,-,2,Int Div-Rs.2/- Per Sh    Purpose Revised,01-Feb-2007,02-Feb-2007,-,-,-,Kirloskar Brothers Limited,INE732A01028,-,
SAIL,EQ,-,10,Interim Dividend-16%     Purpose Revised,01-Feb-2007,03-Feb-2007,-,-,-,Steel Authority of India Limited,INE114A01011,-,
KIRLOSOIL,EQ,-,2,Int Div-Rs.2/- Per Share,01-Feb-2007,02-Feb-2007,-,-,-,Kirloskar Oil Engines Limited,INE250A01021,-,
GEODESIC,EQ,-,2,Interim Dividend-10%     Purpose Revised,01-Feb-2007,02-Feb-2007,-,-,-,Geodesic Limited,INE371D01029,-,
RAMCOCEM,EQ,-,1,2nd Interim Dividend-75% Purpose Revised,02-Feb-2007,05-Feb-2007,-,-,-,The Ramco Cements Limited,INE331A01037,-,
RAMCOIND,EQ,-,1,2nd Int Div-Rs.5/- Per Shpurpose Revised,02-Feb-2007,05-Feb-2007,-,-,-,Ramco Industries Limited,INE614A01028,-,
NTPC,EQ,-,10,Interim Dividend-24%     Purpose Revised,02-Feb-2007,05-Feb-2007,-,-,-,NTPC Limited,INE733E01010,-,
ENGINERSIN,EQ,-,5,Interim Dividend-35%     Purpose Revised,05-Feb-2007,06-Feb-2007,-,-,-,Engineers India Limited,INE510A01010,-,
SHASUNPHAR,EQ,-,2,Int Div-Re.0.80 Per Sh,05-Feb-2007,06-Feb-2007,-,-,-,Shasun Pharmaceuticals Limited,INE317A01028,-,
JINDALSTEL,EQ,-,1,Interim Dividend-120%    Purpose Revised,05-Feb-2007,06-Feb-2007,-,-,-,JINDAL STEEL LIMITED,INE749A01030,-,
NATIONALUM,EQ,-,5,Interim Dividend-35%,06-Feb-2007,07-Feb-2007,-,-,-,National Aluminium Company Limited,INE139A01026,-,
BSELINFRA,EQ,-,10,Interim Dividend-21%,06-Feb-2007,07-Feb-2007,-,-,-,BSEL Infrastructure Realty Limited,INE395A01016,-,
UMIYA-MRO,EQ,-,5,Interim Dividend-20%     Purpose Revised,06-Feb-2007,07-Feb-2007,-,-,-,UMIYA BUILDCON LIMITED,INE398B01018,-,
VARUNSHIP,EQ,-,10,2nd Int Div-Rs1.50 Per Sh,06-Feb-2007,07-Feb-2007,-,-,-,Varun Shipping Company Limited,INE702A01013,-,
POLARIS,EQ,-,5,Int Div-Re.1/- Per Share,06-Feb-2007,07-Feb-2007,-,-,-,POLARIS CONSULTING & SERVICES LIMITED,INE763A01023,-,
TCI,EQ,-,2,Interim Dividend-15%,08-Feb-2007,09-Feb-2007,-,-,-,Transport Corporation of India Limited,INE688A01022,-,
SAGCEM,EQ,-,2,Interim Dividend-10%,08-Feb-2007,10-Feb-2007,-,-,-,Sagar Cements Limited,INE229C01013,-,
GULFPETRO,EQ,-,5,Interim Dividend-5%      Purpose Revised,08-Feb-2007,09-Feb-2007,-,-,-,GP Petroleums Limited,INE586G01017,-,
CUMMINSIND,EQ,-,2,Interim Dividend-100%,08-Feb-2007,09-Feb-2007,-,-,-,Cummins India Limited,INE298A01020,-,
GREAVESCOT,EQ,-,2,2nd Interim Dividend-20% Purpose Revised,08-Feb-2007,09-Feb-2007,-,-,-,Greaves Cotton Limited,INE224A01018,-,
GOKEX,EQ,-,5,Fv Split Rs.10/- To Rs.5/,08-Feb-2007,15-Feb-2007,-,-,08-Feb-2007,Gokaldas Exports Limited,INE887G01027,14-Feb-2007,
UTVSOF,EQ,-,10,Int Div-Rs.2.50 Per Share,08-Feb-2007,09-Feb-2007,-,-,-,UTV Software Communications Limited,INE507B01022,-,
HINDZINC,EQ,-,2,Interim Dividend-25%,08-Feb-2007,09-Feb-2007,-,-,-,Hindustan Zinc Limited,INE267A01017,-,
ZEEL,EQ,-,1,Scheme Of Arrangement,12-Feb-2007,20-Feb-2007,-,-,12-Feb-2007,Zee Entertainment Enterprises Limited,INE256A01028,19-Feb-2007,
BILT,EQ,-,10,Interim Dividend-15%,13-Feb-2007,14-Feb-2007,-,-,-,Ballarpur Industries Limited,INE294A01011,-,
BHEL,EQ,-,2,Interim Dividend-125%,13-Feb-2007,14-Feb-2007,-,-,-,Bharat Heavy Electricals Limited,INE257A01018,-,
SUNTV,EQ,-,5,Interim Dividend-30%,13-Feb-2007,14-Feb-2007,-,-,-,Sun TV Network Limited,INE424H01027,-,
BEML,EQ,-,5,Interim Dividend-40%,13-Feb-2007,14-Feb-2007,-,-,-,BEML Limited,INE258A01016,-,
AARTIIND,EQ,-,5,Int Div-Re.0.50 Per Sh   Purpose Revised,13-Feb-2007,14-Feb-2007,-,-,-,Aarti Industries Limited,INE769A01020,-,
SUBEX,EQ,-,10,Interim Dividend-15%,13-Feb-2007,14-Feb-2007,-,-,-,Subex Limited,INE754A01014,-,
