symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
TIJARIA,EQ,-,10,Extra Ordinary General Meeting,02-Jan-2023,-,03-Jan-2023,09-Jan-2023,-,Tijaria Polypipes Limited,INE440L01017,-,
SHRIRAMFIN,EQ,-,2,Interim Dividend - Rs 15 Per Share,03-Jan-2023,04-Jan-2023,-,-,-,Shriram Finance Limited,INE721A01013,-,
SECURCRED,EQ,-,10,Bonus 3:1,04-Jan-2023,04-Jan-2023,-,-,-,SecUR Credentials Limited,INE195Y01010,-,
717GS2028,GS,-,100,Interest Payment,05-Jan-2023,07-Jan-2023,-,-,-,GOVERNMENT OF INDIA,IN0020170174,-,
833GS2026,GS,-,100,Interest Payment,05-Jan-2023,07-Jan-2023,-,-,-,GOVERNMENT OF INDIA,IN0020120039,-,
JAGRAN,EQ,-,2,Buy Back,06-Jan-2023,06-Jan-2023,-,-,-,Jagran Prakashan Limited,INE199G01027,-,
SPLPETRO,EQ,-,2,Face Value Split (Sub-Division) - From Rs 4/- Per Share To Rs 2/- Per Share,06-Jan-2023,06-Jan-2023,-,-,-,Supreme Petrochem Limited,INE663A01025,-,
RAMASTEEL,EQ,-,1,Bonus 4:1,06-Jan-2023,06-Jan-2023,-,-,-,Rama Steel Tubes Limited,INE230R01019,-,
759GS2026,GS,-,100,Interest Payment,09-Jan-2023,10-Jan-2023,-,-,-,GOVERNMENT OF INDIA,IN0020150093,-,
610GS2031,GS,-,100,Interest Payment,10-Jan-2023,11-Jan-2023,-,-,-,Government of India,IN0020210095,-,
JETFREIGHT,EQ,-,5,Rights 1:1 @ Premium Rs 11.25/-,11-Jan-2023,11-Jan-2023,-,-,-,Jet Freight Logistics Limited,INE982V01017,-,
WELENT,EQ,-,10,Special Dividend - Rs 7.50 Per Share,11-Jan-2023,11-Jan-2023,-,-,-,Welspun Enterprises Limited,INE625G01013,-,
726GS2029,GS,-,100,Interest Payment,12-Jan-2023,13-Jan-2023,-,-,-,GOVERNMENT OF INDIA,IN0020180454,-,
RADIOCITY,EQ,-,2,Scheme Of Arrangement - Bonus Ncrps 1:10,13-Jan-2023,13-Jan-2023,-,-,-,Music Broadcast Limited,INE919I01016,-,
INDOWIND,EQ,-,10,Rights 2:5@ Premium Rs 2/-,13-Jan-2023,13-Jan-2023,-,-,-,Indowind Energy Limited,INE227G01018,-,
654GS2032,GS,-,100,Interest Payment,13-Jan-2023,16-Jan-2023,-,-,-,Government of India,IN0020210244,-,
VISHNU,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,13-Jan-2023,13-Jan-2023,-,-,-,Vishnu Chemicals Limited,INE270I01014,-,
TCS,EQ,-,1,Interim Dividend - Rs 8 Per Share Special Dividend - Rs 67 Per Share,16-Jan-2023,17-Jan-2023,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
683GS2039,GS,-,100,Interest Payment,17-Jan-2023,18-Jan-2023,-,-,-,GOVERNMENT OF INDIA,IN0020080050,-,
AARTISURF,EQ,-,10,Rights 2:17 @ Premium Rs 545/-,17-Jan-2023,17-Jan-2023,-,-,-,Aarti Surfactants Limited,INE09EO01013,-,
KPIGREEN,EQ,-,5,Bonus 1:1,18-Jan-2023,18-Jan-2023,-,-,-,KPI Green Energy Limited,INE542W01017,-,
HCLTECH,EQ,-,2,Interim Dividend - Rs 10 Per Share,19-Jan-2023,20-Jan-2023,-,-,-,HCL Technologies Limited,INE860A01027,-,
HERITGFOOD,EQ,-,5,Rights 1:1 @ Premium Rs 0/-,20-Jan-2023,20-Jan-2023,-,-,-,Heritage Foods Limited,INE978A01019,-,
