symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
MINDACORP,EQ,-,2,Bonus 1:1 / Face Value Split From Rs 10/- Per Share To Rs 2/- Per Share,05-Jan-2015,06-Jan-2015,-,-,-,Minda Corporation Limited,INE842C01013,-,
GODREJIND,EQ,-,1,Bonus 1 : 1250,05-Jan-2015,06-Jan-2015,-,-,-,Godrej Industries Limited,INE233A01035,-,
HATHWAY,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,06-Jan-2015,07-Jan-2015,-,-,-,Hathway Cable & Datacom Limited,INE982F01028,-,
BERGEPAINT,EQ,-,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,08-Jan-2015,09-Jan-2015,-,-,-,Berger Paints (I) Limited,INE463A01020,-,
ESL,EQ,-,10,E-Voting,08-Jan-2015,09-Jan-2015,-,-,-,Electrosteel Steels Limited,INE481K01013,-,
SIEMENS,EQ,-,2,Annual General Meeting/Final Dividend - Rs 6/- Per Share,14-Jan-2015,-,16-Jan-2015,30-Jan-2015,-,Siemens Limited,INE003A01024,-,
NELCO,EQ,-,10,Annual General Meeting,14-Jan-2015,-,16-Jan-2015,19-Jan-2015,-,NELCO Limited,INE045B01015,-,
INTELLECT,EQ,-,5,Scheme Of Arrangement-To Ascertain Eligible Members To Provide Option To Opt For Ncd In Place Of Equity Shares,16-Jan-2015,19-Jan-2015,-,-,-,Intellect Design Arena Limited,INE306R01017,-,
HEUBACHIND,EQ,-,10,Second Interim Dividend - Rs 140/- Per Share (Purpose Revised),19-Jan-2015,20-Jan-2015,-,-,-,Heubach Colorants India Limited,INE492A01029,-,
RSSOFTWARE,EQ,-,5,Interim Dividend - Rs 1.50/- Per Share / Face Value Split - From Rs 10/- Per Share To Rs 5/- Per Share (Purpose Revised),21-Jan-2015,22-Jan-2015,-,-,-,R. S. Software (India) Limited,INE165B01011,-,
WIPRO,EQ,-,2,Interim Dividend - Rs 5/- Per Share (Purpose Revised),22-Jan-2015,23-Jan-2015,-,-,-,Wipro Limited,INE075A01022,-,
SYMPHONY,EQ,-,2,Interim Dividend - Rs 4/- Per Share,22-Jan-2015,23-Jan-2015,-,-,-,Symphony Limited,INE225D01019,-,
CORPBANK,EQ,-,2,Face Valus Split (Sub-Division) - From Rs 10/- Per To Rs 2/- Per Share,22-Jan-2015,23-Jan-2015,-,-,-,Corporation Bank,INE112A01015,-,
BANKBARODA,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,22-Jan-2015,23-Jan-2015,-,-,-,Bank of Baroda,INE028A01013,-,
CANFINHOME,EQ,-,2,Rights 3:10 @ Premium Rs 440/- Per Share,23-Jan-2015,27-Jan-2015,-,-,-,Can Fin Homes Limited,INE477A01012,-,
SASKEN,EQ,-,10,Interim Dividend - Rs 2.50/- Per Share,23-Jan-2015,27-Jan-2015,-,-,-,Sasken Technologies Limited,INE231F01020,-,
MINDTREE,EQ,-,10,Interim Dividend - Rs 4/- Per Share (Purpose Revised),23-Jan-2015,27-Jan-2015,-,-,-,MindTree Limited,INE018I01017,-,
TATACOFFEE,EQ,-,1,Face Value Split (Sub-Division): From Rs 10/- Per Share To Re 1/- Per Share,23-Jan-2015,27-Jan-2015,-,-,-,Tata Coffee Limited,INE493A01019,-,
TCS,EQ,-,1,Third Interim Dividend - Rs 5/- Per Share,27-Jan-2015,28-Jan-2015,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
BEL,EQ,-,1,Interim Dividend Rs.6/- Per Share (Purpose Revised),28-Jan-2015,29-Jan-2015,-,-,-,Bharat Electronics Limited,INE263A01016,-,
SUPREMEIND,EQ,-,2,Interim Dividend - Rs 2/- Per Share (Purpose Revised),28-Jan-2015,29-Jan-2015,-,-,-,Supreme Industries Limited,INE195A01010,-,
PERSISTENT,EQ,-,5,Interim Dividend - Rs 10/- Per Share (Purpose Revised),29-Jan-2015,31-Jan-2015,-,-,-,Persistent Systems Limited,INE262H01013,-,
DHANI,EQ,-,2,Third Interim Dividend - Re 1/- Per Share,29-Jan-2015,30-Jan-2015,-,-,-,Dhani Services Limited,INE274G01010,-,
DBCORP,EQ,-,10,Interim Dividend - Rs 3.50/- Per Share,29-Jan-2015,30-Jan-2015,-,-,-,D.B.Corp Limited,INE950I01011,-,
HATSUN,EQ,-,1,Interim Dividend - Re 0.60/- Per Share (Purpose Revised),29-Jan-2015,30-Jan-2015,-,-,-,Hatsun Agro Product Limited,INE473B01035,-,
