symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
717GS2028,GS,-,100, Interest Payment,06-Jan-2020,07-Jan-2020,-,-,-,GOVERNMENT OF INDIA,IN0020170174,-,
833GS2026,GS,-,100, Interest Payment,07-Jan-2020,08-Jan-2020,-,-,-,GOVERNMENT OF INDIA,IN0020120039,-,
RITES,EQ,-,10, Interim Dividend-Rs 6 Per Share,09-Jan-2020,10-Jan-2020,-,-,-,RITES Limited,INE320J01015,-,
759GS2026,GS,-,100, Interest Payment,09-Jan-2020,10-Jan-2020,-,-,-,GOVERNMENT OF INDIA,IN0020150093,-,
726GS2029,GS,-,100, Interest Payment,10-Jan-2020,13-Jan-2020,-,-,-,GOVERNMENT OF INDIA,IN0020180454,-,
617GS2021,GS,-,100, Interest Payment,13-Jan-2020,14-Jan-2020,-,-,-,GOVERNMENT OF INDIA,IN0020190099,-,
JVLAGRO,EQ,-,1, Annual General Meeting,14-Jan-2020,-,16-Jan-2020,21-Jan-2020,-,JVL Agro Industries Limited,INE430G01026,-,
SIS,EQ,-,5, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,15-Jan-2020,16-Jan-2020,-,-,-,SIS LIMITED,INE285J01010,-,
683GS2039,GS,-,100, Interest Payment,16-Jan-2020,18-Jan-2020,-,-,-,GOVERNMENT OF INDIA,IN0020080050,-,
700GS2021,GS,-,100, Interest Payment,17-Jan-2020,20-Jan-2020,-,-,-,GOI LOAN 7.00% 2021,IN0020180470,-,
SUVEN,EQ,-,1, Demerger,21-Jan-2020,22-Jan-2020,-,-,-,Suven Life Sciences Limited,INE495B01038,-,
DELTACORP,EQ,-,1, Interim Dividend - Rs 0.75 Per Share,22-Jan-2020,23-Jan-2020,-,-,-,Delta Corp Limited,INE124G01033,-,
TCS,EQ,-,1, Interim Dividend - Rs 5 Per Share,23-Jan-2020,25-Jan-2020,-,-,-,Tata Consultancy Services Limited,INE467B01029,-,
ASTERDM,EQ,-,10, Buy Back,23-Jan-2020,24-Jan-2020,-,-,-,Aster DM Healthcare Limited,INE914M01019,-,
WIPRO,EQ,-,2, Interim Dividend - Re 1 Per Share,24-Jan-2020,27-Jan-2020,-,-,-,Wipro Limited,INE075A01022,-,
VALUEIND,EQ,-,10, Annual General Meeting,24-Jan-2020,-,28-Jan-2020,04-Feb-2020,-,Value Industries Limited,INE352A01017,-,
84GS2024,GS,-,100, Interest Payment,24-Jan-2020,27-Jan-2020,-,-,-,GOVERNMENT OF INDIA,IN0020140045,-,
732GS2024,GS,-,100, Interest Payment,24-Jan-2020,27-Jan-2020,-,-,-,GOVERNMENT OF INDIA,IN0020180488,-,
HCLTECH,EQ,-,2, Interim Dividend - Rs 2 Per Share,24-Jan-2020,27-Jan-2020,-,-,-,HCL Technologies Limited,INE860A01027,-,
INDIGRID,IV,-,100, Distribution,27-Jan-2020,28-Jan-2020,-,-,-,IndiGrid Infrastructure Trust,INE219X23014,-,
360ONE,EQ,-,1, Interim Dividend- Rs 10 Per Share,29-Jan-2020,30-Jan-2020,-,-,-,360 ONE WAM LIMITED,INE466L01020,-,
808GS2022,GS,-,100, Interest Payment,30-Jan-2020,01-Feb-2020,-,-,-,GOVERNMENT OF INDIA,IN0020070028,-,
832GS2032,GS,-,100, Interest Payment,30-Jan-2020,01-Feb-2020,-,-,-,GOVERNMENT OF INDIA,IN0020070044,-,
826GS2027,GS,-,100, Interest Payment,30-Jan-2020,01-Feb-2020,-,-,-,GOVERNMENT OF INDIA,IN0020070036,-,
GRANULES,EQ,-,1, Interim Dividend - Re 0.25 Per Share,30-Jan-2020,31-Jan-2020,-,-,-,Granules India Limited,INE101D01012,-,
PRATIBHA,EQ,-,2, Annual General Meeting,30-Jan-2020,-,03-Feb-2020,10-Feb-2020,-,Pratibha Industries Limited,INE308H01014,-,
GMMPFAUDLR,EQ,-,2, Interim Dividend - Re 1 Per Share,30-Jan-2020,31-Jan-2020,-,-,-,GMM Pfaudler Limited,INE541A01023,-,
SHARDACROP,EQ,-,10, Interim Dividend Rs 2 Per Share,31-Jan-2020,03-Feb-2020,-,-,-,Sharda Cropchem Limited,INE221J01015,-,
MOTILALOFS,EQ,-,1, Interim Dividend-Rs 4 Per Share,31-Jan-2020,03-Feb-2020,-,-,-,Motilal Oswal Financial Services Limited,INE338I01027,-,
SIEMENS,EQ,-,2, Dividend - Rs 7 Per Share,03-Feb-2020,-,05-Feb-2020,11-Feb-2020,-,Siemens Limited,INE003A01024,-,
RBL,EQ,-,10, Interim Dividend - Rs 6 Per Share,03-Feb-2020,04-Feb-2020,-,-,-,Rane Brake Lining Limited,INE244J01017,-,
NAM-INDIA,EQ,-,10, Interim Dividend - Rs 3 Per Share,03-Feb-2020,04-Feb-2020,-,-,-,Nippon Life India Asset Management Limited,INE298J01013,-,
TCIEXP,EQ,-,2, Interim Dividend - Rs 1.50 Per Share,03-Feb-2020,04-Feb-2020,-,-,-,TCI Express Limited,INE586V01016,-,
DBCORP,EQ,-,10, Interim Dividend Rs 3.5 Per Share,03-Feb-2020,04-Feb-2020,-,-,-,D.B.Corp Limited,INE950I01011,-,
CONTROLPR,EQ,-,10, Interim Dividend Rs 3.5 Per Share,04-Feb-2020,05-Feb-2020,-,-,-,Control Print Limited,INE663B01015,-,
BAJAJELEC,EQ,-,2, Rights 13:118 @ Premium Rs 308/-,05-Feb-2020,06-Feb-2020,-,-,-,Bajaj Electricals Limited,INE193E01025,-,
VINATIORGA,EQ,-,1, Face Value Split (Sub-Division) - From Rs 2/- Per Share To Rs 1/- Per Share,05-Feb-2020,06-Feb-2020,-,-,-,Vinati Organics Limited,INE410B01029,-,
SHRIPISTON,EQ,-,10, Interim Dividend - Rs 3 Per Share,05-Feb-2020,06-Feb-2020,-,-,-,Shriram Pistons & Rings Limited,INE526E01018,-,
GODREJCP,EQ,-,1, Interim Dividend - Rs 2 Per Share,05-Feb-2020,06-Feb-2020,-,-,-,Godrej Consumer Products Limited,INE102D01028,-,
ALKALI,EQ,-,10, Interim Dividend -Rs 1 Per Share,05-Feb-2020,06-Feb-2020,-,-,-,Alkali Metals Limited,INE773I01017,-,
ACCELYA,EQ,-,10, Interim Dividend - Rs 10 Per Share,05-Feb-2020,06-Feb-2020,-,-,-,Accelya Solutions India Limited,INE793A01012,-,
MARICO,EQ,-,1, Interim Dividend - Rs 3.25 Per Share,06-Feb-2020,07-Feb-2020,-,-,-,Marico Limited,INE196A01026,-,
CCL,EQ,-,2, Interim Dividend - Rs 2 Per Share,06-Feb-2020,07-Feb-2020,-,-,-,CCL Products (India) Limited,INE421D01014,-,
75GS2034,GS,-,100, Interest Payment,06-Feb-2020,07-Feb-2020,-,-,-,GOVERNMENT OF INDIA,IN0020040039,-,
ORIENTELEC,EQ,-,1, Interim Dividend - Rs 0.65 Per Share,06-Feb-2020,07-Feb-2020,-,-,-,Orient Electric Limited,INE142Z01019,-,
MANAPPURAM,EQ,-,2, Interim Dividend - Rs 0.55 Per Share,06-Feb-2020,07-Feb-2020,-,-,-,Manappuram Finance Limited,INE522D01027,-,
DCMSHRIRAM,EQ,-,2, Interim Dividend - Rs 4.20 Per Share,06-Feb-2020,07-Feb-2020,-,-,-,DCM Shriram Limited,INE499A01024,-,
PERSISTENT,EQ,-,5, Interim Dividend - Rs 9 Per Share,06-Feb-2020,07-Feb-2020,-,-,-,Persistent Systems Limited,INE262H01013,-,
KKCL,EQ,-,10, Interim Dividend - Rs 15 Per Share,06-Feb-2020,07-Feb-2020,-,-,-,Kewal Kiran Clothing Limited,INE401H01017,-,
ZENSARTECH,EQ,-,2, Interim Dividend - Re 1 Per Share,06-Feb-2020,07-Feb-2020,-,-,-,Zensar Technologies Limited,INE520A01019,-,
VAIBHAVGBL,EQ,-,2, Interim Dividend - Rs 7 Per Share,07-Feb-2020,10-Feb-2020,-,-,-,Vaibhav Global Limited,INE884A01019,-,
AEGISLOG,EQ,-,1, Interim Dividend - Rs 0.50 Per Share,07-Feb-2020,10-Feb-2020,-,-,-,Aegis Logistics Limited,INE208C01025,-,
BSOFT,EQ,-,2, Interim Dividend - Re 1 Per Share,07-Feb-2020,10-Feb-2020,-,-,-,BIRLASOFT LIMITED,INE836A01035,-,
COFORGE,EQ,-,2, Interim Dividend - Rs 10 Per Share,07-Feb-2020,10-Feb-2020,-,-,-,Coforge Limited,INE591G01017,-,
CUMMINSIND,EQ,-,2, Interim Dividend - Rs 7 Per Share,07-Feb-2020,10-Feb-2020,-,-,-,Cummins India Limited,INE298A01020,-,
SRF,EQ,-,10, Interim Dividend - Rs 7 Per Share,10-Feb-2020,11-Feb-2020,-,-,-,SRF Limited,INE647A01010,-,
BROOKS,EQ,-,10, Rights 9:20 @ Premium Rs 10/-,11-Feb-2020,12-Feb-2020,-,-,-,Brooks Laboratories Limited,INE650L01011,-,
BEL,EQ,-,1, Interim Dividend - Rs 1.40 Per Share,11-Feb-2020,12-Feb-2020,-,-,-,Bharat Electronics Limited,INE263A01016,-,
RECLTD,EQ,-,10, Interim Dividend - Rs 11 Per Share,11-Feb-2020,12-Feb-2020,-,-,-,REC Limited,INE020B01018,-,
